9.82,7.6,1.366,7.6,-3.2206
10.142,7.6,1.366,7.6,-3.571
9.82,7.9834,1.366,7.6,-2.2882
9.82,7.6,1.4405,7.6,-3.0765
9.82,7.6,1.366,8.4838,-6.6973
9.9813,7.2307,1.4063,8.0166,-1.0677
9.8602,7.7922,1.3766,7.699,-3.9295
10.002,7.6959,1.2784,8.0724,-6.0323
10.092,7.7441,1.3296,8.3329,-6.4959
9.7452,7.8163,1.3105,8.7497,-7.0561
9.5543,7.9241,1.2807,9.4226,-7.1172
9.869,7.6899,1.2465,9.5651,-9.4019
9.8734,7.6389,1.1757,10.65,-13.892
9.6669,7.7576,1.3023,10.442,-14.302
9.5084,7.7885,1.314,11.727,-9.6395
9.3887,7.7162,1.2347,11.246,-10.023
9.4246,7.9185,1.1232,12.46,-9.8632
9.6091,7.5916,1.1373,12.917,-8.1781
9.5953,7.6746,1.1731,12.095,-12.374
9.8418,7.4768,1.3183,9.7289,-7.9513
9.523,7.8079,1.1722,11.801,-10.16
9.9597,7.7232,1.1779,11.263,-11.184
10.032,7.5896,1.2432,10.425,-11.403
9.6242,7.6072,1.2697,10.554,-14.656
9.4672,7.5496,1.3137,10.2,-7.7197
9.3735,7.7497,1.2184,11.453,-7.7197
